fips_code,abb,county_name,total_pop,total_pop_urban,total_pop_rural,percent_rural
45051,SC,"Horry County, South Carolina",269291,187492,81799,30.37569024
45053,SC,"Jasper County, South Carolina",24777,8258,16519,66.67070267
45055,SC,"Kershaw County, South Carolina",61572,26110,35587,57.79737543
45057,SC,"Lancaster County, South Carolina",76652,38361,38291,49.95433909
45059,SC,"Laurens County, South Carolina",66537,23824,42713,64.19435803
45061,SC,"Lee County, South Carolina",19220,5391,13829,71.95109261
45063,SC,"Lexington County, South Carolina",262391,196069,66322,25.27601938
45065,SC,"McCormick County, South Carolina",10233,0,10233,100
45067,SC,"Marion County, South Carolina",33062,12976,20086,60.75252556
45069,SC,"Marlboro County, South Carolina",28933,13006,15927,55.04786922
45071,SC,"Newberry County, South Carolina",37508,12059,25449,67.84952543
45073,SC,"Oconee County, South Carolina",74273,26054,48219,64.92130384
45075,SC,"Orangeburg County, South Carolina",92501,33506,58995,63.77768889
45077,SC,"Pickens County, South Carolina",119224,76551,42673,35.79229014
45079,SC,"Richland County, South Carolina",384504,349628,34876,9.070386784
45081,SC,"Saluda County, South Carolina",19875,3870,16005,80.52830189
45083,SC,"Spartanburg County, South Carolina",284307,206315,77992,27.43231788
45085,SC,"Sumter County, South Carolina",107456,73107,34349,31.96564175
45087,SC,"Union County, South Carolina",28961,10033,18928,65.35685922
45089,SC,"Williamsburg County, South Carolina",34423,6218,28205,81.93649595
45091,SC,"York County, South Carolina",226073,174178,51895,22.95497472
46003,SD,"Aurora County, South Dakota",2710,0,2710,100
46005,SD,"Beadle County, South Dakota",17398,12637,4761,27.36521439
46007,SD,"Bennett County, South Dakota",3431,0,3431,100
46009,SD,"Bon Homme County, South Dakota",7070,0,7070,100
46011,SD,"Brookings County, South Dakota",31965,22482,9483,29.66682309
46013,SD,"Brown County, South Dakota",36531,25977,10554,28.89053133
46015,SD,"Brule County, South Dakota",5255,0,5255,100
46017,SD,"Buffalo County, South Dakota",1912,0,1912,100
46019,SD,"Butte County, South Dakota",10110,5240,4870,48.17012859
46021,SD,"Campbell County, South Dakota",1466,0,1466,100
46023,SD,"Charles Mix County, South Dakota",9129,0,9129,100
46025,SD,"Clark County, South Dakota",3691,0,3691,100
46027,SD,"Clay County, South Dakota",13864,10492,3372,24.321985
46029,SD,"Codington County, South Dakota",27227,21111,6116,22.46299629
46031,SD,"Corson County, South Dakota",4050,0,4050,100
46033,SD,"Custer County, South Dakota",8216,0,8216,100
46035,SD,"Davison County, South Dakota",19504,14955,4549,23.32342084
46037,SD,"Day County, South Dakota",5710,0,5710,100
46039,SD,"Deuel County, South Dakota",4364,0,4364,100
46041,SD,"Dewey County, South Dakota",5301,1904,3397,64.08224863
46043,SD,"Douglas County, South Dakota",3002,0,3002,100
46045,SD,"Edmunds County, South Dakota",4071,0,4071,100
46047,SD,"Fall River County, South Dakota",7094,3550,3544,49.95771074
46049,SD,"Faulk County, South Dakota",2364,0,2364,100
46051,SD,"Grant County, South Dakota",7356,3283,4073,55.36976618
46053,SD,"Gregory County, South Dakota",4271,0,4271,100
46055,SD,"Haakon County, South Dakota",1937,0,1937,100
46057,SD,"Hamlin County, South Dakota",5903,0,5903,100
46059,SD,"Hand County, South Dakota",3431,0,3431,100
46061,SD,"Hanson County, South Dakota",3331,0,3331,100
46063,SD,"Harding County, South Dakota",1255,0,1255,100
46065,SD,"Hughes County, South Dakota",17022,12720,4302,25.27317589
46067,SD,"Hutchinson County, South Dakota",7343,0,7343,100
46069,SD,"Hyde County, South Dakota",1420,0,1420,100
46071,SD,"Jackson County, South Dakota",3031,0,3031,100
46073,SD,"Jerauld County, South Dakota",2071,0,2071,100
46075,SD,"Jones County, South Dakota",1006,0,1006,100
46077,SD,"Kingsbury County, South Dakota",5148,0,5148,100
46079,SD,"Lake County, South Dakota",11200,6174,5026,44.875
46081,SD,"Lawrence County, South Dakota",24097,15209,8888,36.88425945
46083,SD,"Lincoln County, South Dakota",44828,31709,13119,29.2651914
46085,SD,"Lyman County, South Dakota",3755,0,3755,100
46087,SD,"McCook County, South Dakota",5618,0,5618,100
46089,SD,"McPherson County, South Dakota",2459,0,2459,100
46091,SD,"Marshall County, South Dakota",4656,0,4656,100
46093,SD,"Meade County, South Dakota",25456,15770,9664,37.96354494
46095,SD,"Mellette County, South Dakota",2048,0,2048,100
46097,SD,"Miner County, South Dakota",2389,0,2389,100
46099,SD,"Minnehaha County, South Dakota",169468,146359,23109,13.6362027
46101,SD,"Moody County, South Dakota",6486,0,6486,100
46102,SD,"Oglala Lakota County, South Dakota",13586,2720,10866,79.97939055
46103,SD,"Pennington County, South Dakota",100937,79949,20999,20.8040659
46105,SD,"Perkins County, South Dakota",2982,0,2982,100
46107,SD,"Potter County, South Dakota",2329,0,2329,100
46109,SD,"Roberts County, South Dakota",10149,0,10149,100
46111,SD,"Sanborn County, South Dakota",2355,0,2355,100
46115,SD,"Spink County, South Dakota",6415,0,6415,100
46117,SD,"Stanley County, South Dakota",2966,1705,1261,42.51517195
46119,SD,"Sully County, South Dakota",1373,0,1373,100
46121,SD,"Todd County, South Dakota",9612,0,9612,100
46123,SD,"Tripp County, South Dakota",5644,2907,2737,48.4939759
46125,SD,"Turner County, South Dakota",8347,0,8347,100
46127,SD,"Union County, South Dakota",14399,5559,8840,61.3931523
46129,SD,"Walworth County, South Dakota",5438,3457,1981,36.42883413
46135,SD,"Yankton County, South Dakota",22438,14637,7801,34.76691327
46137,SD,"Ziebach County, South Dakota",2801,741,2060,73.54516244
47001,TN,"Anderson County, Tennessee",75129,49088,26041,34.66171518
47003,TN,"Bedford County, Tennessee",45058,20005,25053,55.60166896
47005,TN,"Benton County, Tennessee",16489,3552,12937,78.45836618
